ORIGINE	DESTINATION	Distance
1100117401	1100118313	864,46326
1100118308	1100117401	1175,21826
1100118308	1100118307	495,25638
1100118308	1100118314	659,49976
1100118308	1100118309	546,7544
1100118308	1100118303	1132,99963
1100115305	1100115304	842,47302
1100115305	1100117401	512,92621
1100115305	1100115306	908,29657
1100115305	1100115201	873,60962
1100116408	1100116410	566,02393
1100116408	1100116407	786,03241
1100116408	1100116415	749,14874
1100116408	1100116409	1031,27734
1100116408	1100116417	1090,5863
1100115101	1100115503	685,9953
1100115101	1100115115	783,20825
1100115101	1100115102	914,5625
1100115101	1100115204	429,36884
1100118316	1100118318	809,54327
1100118316	1100118317	940,44672
1100115508	1100115509	505,75308
1100115508	1100115605	625,06372
1100115508	1100115502	796,1601
1100115508	1100115507	818,69434
1100115508	1100115606	866,10443
1100116301	1100116312	941,35767
1100116301	1100116311	745,91583
1100116301	1100115607	1068,30176
1100116301	1100116404	1065,49414
1100118314	1100118309	815,12659
1100118314	1100118308	659,49976
1100118314	1100117401	590,09955
1100118314	1100118310	1220,03503
1100118314	1100118313	623,60638
1100116406	1100116407	790,23694
1100116406	1100116410	1238,49048
1100116406	1100116312	1081,17297
1100116406	1100116308	1420,94458
1100116406	1100116405	1098,79089
1100116406	1100114546	1107,96436
1100115203	1100115206	749,61176
1100115203	1100115202	384,59113
1100115203	1100115103	781,56445
1100115203	1100117310	1129,64111
1100115203	1100115204	730,08575
1100115203	1100115102	616,38739
1100115203	1100117301	678,93335
1100115202	1100117405	399,71777
1100115202	1100115203	384,59113
1100115202	1100115201	628,47644
1100115202	1100115206	792,92133
1100115202	1100117301	558,17456
1100117406	1100117402	587,5387
1100117406	1100117405	453,68414
1100117406	1100117401	618,59436
1100117406	1100117407	432,76047
1100117406	1100115201	755,21423
1100115507	1100115506	801,35181
1100115507	1100116303	1528,90002
1100115507	1100115606	613,74646
1100115507	1100115508	818,69434
1100118309	1100118314	815,12659
1100118309	1100118310	530,21143
1100118309	1100118308	546,7544
1100118309	1100118303	749,62421
1100116312	1100116301	941,35767
1100116312	1100116302	1005,54572
1100116312	1100116406	1081,17297
1100116312	1100116404	1227,16773
1100116312	1100116308	1124,29858
1100116312	1100116405	1226,29419
1100115115	1100115102	805,57166
1100115115	1100115101	783,20825
1100115115	1100115503	782,92584
1100115115	1100115112	1058,65186
1100115115	1100115114	1071,30737
1100115102	1100115115	805,57166
1100115102	1100115112	797,65619
1100115102	1100115103	491,49274
1100115102	1100117310	956,49164
1100115102	1100115101	914,5625
1100115102	1100115203	616,38739
1100115102	1100115204	1005,85193
1100117405	1100115202	399,71777
1100117405	1100117406	453,68414
1100117405	1100117407	418,46112
1100117405	1100115201	791,15112
1100117405	1100117404	447,30216
1100117405	1100117301	509,38757
1100116407	1100116406	790,23694
1100116407	1100116408	786,03241
1100116407	1100114546	848,74439
1100116407	1100116415	912,10437
1100117402	1100117406	587,5387
1100117402	1100118313	559,39429
1100117402	1100117403	462,73569
1100117402	1100117401	639,32031
1100117402	1100117407	414,3121
1100115506	1100115507	801,35181
1100115506	1100115503	1613,06421
1100115506	1100115114	982,85547
1100115506	1100115502	1664,11743
1100115506	1100116303	1394,2384
1100115506	1100115110	1202,43811
1100116311	1100116303	1211,34656
1100116311	1100116301	745,91583
1100116311	1100115607	1602,44226
1100116311	1100116302	808,78668
1100116311	1100115606	1050,0846
1100118317	1100118318	845,51581
1100118317	1100118316	940,44672
1100118310	1100118313	1136,46423
1100118310	1100118309	530,21143
1100118310	1100118312	792,27985
1100118310	1100118314	1220,03503
1100118310	1100118311	484,1008
1100118310	1100118304	440,87814
1100118310	1100118303	634,92145
1100118313	1100118310	1136,46423
1100118313	1100117402	559,39429
1100118313	1100118314	623,60638
1100118313	1100118306	735,46423
1100118313	1100118312	395,19556
1100118313	1100117401	864,46326
1100117407	1100117404	226,75942
